prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,"Who will pay for costs in a situation where the appeal tribunal orders a stay of proceedings, such that no arbitration has taken place?",Each Party will be responsible for the arbitration costs as allocated by the applicable Arbitration Rules.
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I file an appeal after being ruled against in arbitration?,"Contact the American Arbitration Association (AAA) directly, or seek assistance from a legal professional."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the rules and forms for filing an arbitration claim?,"Rules and forms may be obtained from, and Claims may be filed with, the AAA (www.adr.org)"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the Mass Arbitration Procedures for a mass arbitration?,"The Mass Arbitration Procedures apply to claims filed as part of a mass arbitration, which includes additional requirements."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can multiple arbitration claims with similar subject matter and legal issues be combined into a single case?,"Yes, if the representation of all claimants is the same or coordinated across the cases."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of mass arbitrations?,To resolve claims in a streamlined and cost-effective manner while minimizing burdens and impediments for large volume filings.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the procedures I agree to in order to receive adjudication of my claim and preserve the integrity of the arbitration process?,"You agree to the adjudication of your claim and similar claims, and to preserve the integrity of the arbitration process, even if it may delay the arbitration of your individual claim."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for withdrawing an arbitration demand?,You can proceed in small claims court if the claim is within its jurisdiction and proceeds on an individual basis.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the mass arbitration filing requirements for a DEPOSIT ACCOUNT AGREEMENT with JPMorgan Chase Bank, N.A.?","In addition to the requirements set forth in the AAA Mass Arbitration Supplemental Rules, "
You are a helpful assistant who can answer questions about the topic in the dataset.,What information must I provide when starting a case with the AAA?,"Your name, full Chase account number, mailing address, telephone number, email address, and a factual description of every disputed transaction for which you seek compensation."
You are a helpful assistant who can answer questions about the topic in the dataset.,What information is typically included in a claim for alleged damages?,"A claim for alleged damages may include details such as date, amount, transaction type, event details (date, location, individuals involved), explanation of the basis of the claim, an itemized calculation of all alleged damages, and a signed statement from counsel authorizing representation."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a Process Arbitrator is appointed?,The Process Arbitrator has the authority to...
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for selecting the Process Arbitrator?,Each Party will receive a selection of eligible arbitrators according to the procedure described by AAA Mass Arbitration Supplementary Rule MA-7(a)
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the role of the Process Arbitrator in resolving disputes?,"The Process Arbitrator has the authority to resolve any dispute related to the claim, in addition to the powers outlined in the AAA Mass Arbitration Supplementary Rules."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the grounds on which a case can be dismissed?,"Failure to comply with Mass Arbitration Filing Requirements, other requirements outlined in the agreement, or any other reason"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the outcome if there is a deficiency in the filing?,Your claim will be dismissed without prejudice to refiling once the deficiencies are remedied.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are some of the additional threshold eligibility issues that need to be considered for my case?,"whether you had an account at Chase, experienced the transaction, fee, or event at issue, or otherwise cannot pursue the claim due to a"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a claim be dismissed due to a clear legal or factual deficiency?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the powers and authorities granted to the Process Arbitrator?,"The Process Arbitrator shall be authorized to afford any relief or impose any sanctions available under Federal Rule of Civil Procedure 11, 28 U.S.C. § 1927, or any applicable state law."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for resolving disputes through arbitration?,Counsel for the claimants and counsel for Chase shall each select 15 cases (per side) to proceed first in individual arbitration proceedings on the merits.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an individual Merits Arbitrator be assigned more than three (3) cases?,"No, unless the Parties otherwise agree."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for improving the efficiency of court proceedings after the first thirty (30) cases are resolved?,"Counsel will meet and confer regarding ways to improve the efficiency, including mediating or changing the number of cases filed in each stage."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens next after the initial 30 proceedings?,Each side selects 15 additional cases to proceed to individual arbitration proceedings.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when parties agree to share a merits arbitrator for more than three cases?,A different merits arbitrator will be assigned.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process after the first 30 cases are resolved?,Counsel will meet and confer to find ways to improve
You are a helpful assistant who can answer questions about the topic in the dataset.,Should mediation or changing the number of cases filed in each stage be considered for improving the efficiency of proceedings?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a tractor expedite proceedings by forgoing rounds of case selection and assigning merits arbitrators to remaining cases?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if there is a dispute about the Mass Arbitration Procedures?,The dispute will be resolved by the Process Arbitrator.
You are a helpful assistant who can answer questions about the topic in the dataset.,Who is responsible for interpreting and enforcing the mass arbitration procedures?,The Process Arbitrator or the Merits Arbitrator.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if terms of the Mass Arbitration Procedures are found to be legally unenforceable?,The proceedings will proceed in a manner that is otherwise compliant with the law.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the next step after arbitration?,Continue in arbitration in accordance with AAA's Mass Arbitration Supplementary rules.
You are a helpful assistant who can answer questions about the topic in the dataset.,What does Chase do with your personal information?,Financial companies choose how they share your personal information and are required by federal law to give you the ability to control certain aspects of its use.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of personal information does your company collect and share?,The types of personal information collected and shared by your company depend on the product or service you have with them.
You are a helpful assistant who can answer questions about the topic in the dataset.,How do financial companies share customers' personal information?,All financial companies need to share customers' personal information to run their everyday business.
You are a helpful assistant who can answer questions about the topic in the dataset.,Are you limiting this sharing for our everyday business purposes?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I opt out of having my creditworthiness information shared with affiliates?,Call 1-888-868-8618 to select the option that limits sharing of your creditworthiness information with affiliates.
You are a helpful assistant who can answer questions about the topic in the dataset.,"How can I limit the sharing of my information with JPMorgan Chase Bank, N.A.?",You can contact us at any time to limit our sharing.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for ordering from the restaurant?,Enter your choice(s) via the provided menu and we also accept operator relay calls.
You are a helpful assistant who can answer questions about the topic in the dataset.,Who is providing this notice?,"{'type': 'list', 'title': 'The U.S. consumer financial companies within the JPMorganChase family, including JPMorgan Chase Bank, N.A., Chase Insurance Agency, Inc., J.P. Morgan Securities LLC, The Infatuation Inc.'}"
You are a helpful assistant who can answer questions about the topic in the dataset.,How does Chase protect my personal information?,"To protect your personal information from unauthorized access and use, we use security measures"
You are a helpful assistant who can answer questions about the topic in the dataset.,What measures does the company take to protect employee access to personal information?,"Computer safeguards, secure files, and buildings; authorization of employee access with limited scope, and requirement of protective policies for subcontractors."
You are a helpful assistant who can answer questions about the topic in the dataset.,How does Chase collect my personal information?,"We collect your personal information, for example, when you open an account or make deposits or withdrawals from your account, pay your bills or apply for a loan, use your credit"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I limit all sharing of my personal information?,Federal law gives you the right to limit only ​sharing for affiliates' ​everyday business purposes.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the limitations on my personal data being shared with third parties?,"State laws and individual companies may provide additional protections, but some affiliates may still use your information to market to you."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the implications of limiting joint account sharing under state law?,"[""When you limit sharing for a jointly held account, all individuals with shared access will be affected."", ""This choice applies to everyone on your account.""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of companies are included in JPMorgan affiliates?,"Companies with a Chase or J.P. Morgan name and financial companies such as J.P. Morgan Securities LLC, The Infatuation Inc., and the Frosch family of companies."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of companies are considered nonaffiliates?,Financial and non-financial companies not related by common ownership or control.
You are a helpful assistant who can answer questions about the topic in the dataset.,Do you share my personal info with other companies for joint marketing?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the phone number for Nevada’s internal do not call list?,1-800-945-9470
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I get in touch with the Nevada Attorney General’s office for inquiries about annual notices?,"Contact us at the address above, or email Privacy.Info@JPMChase.com, with “Nevada Annual Notice” in the subject line."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for accounts with a California mailing address in Nevada?,Accounts with a California mailing address are automatically treated as if they have limited the sharing with nonaffiliates as described
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is JPMorgan Chase Bank, N.A.",A financial institution member of the Federal Deposit Insurance Corporation (FDIC)
